Rental_ID,Customer_ID,Vehicle_ID,Start_Date,Total_Cost,Status,End_Date
1001,291,305,2024-07-30 00:00:00,1223,Ongoing,2024-08-02 00:00:00
1002,216,324,2024-02-12 00:00:00,307,Completed,2024-02-15 00:00:00
1003,244,341,2024-02-25 00:00:00,2219,Completed,2024-03-01 00:00:00
1004,252,333,2024-03-11 00:00:00,1881,Completed,2024-03-19 00:00:00
1005,214,339,2024-01-21 00:00:00,2523,Ongoing,2024-01-27 00:00:00
1006,224,333,2024-06-19 00:00:00,1393,Completed,2024-06-26 00:00:00
1007,245,306,2024-01-25 00:00:00,787,Ongoing,2024-02-01 00:00:00
1008,267,329,2024-09-12 00:00:00,1129,Ongoing,2024-09-18 00:00:00
1009,290,350,2024-08-31 00:00:00,676,Ongoing,2024-09-09 00:00:00
1010,220,334,2024-09-21 00:00:00,2529,Completed,2024-09-25 00:00:00
1011,220,310,2024-09-17 00:00:00,729,Completed,2024-09-20 00:00:00
1012,225,315,2024-05-07 00:00:00,917,Completed,2024-05-12 00:00:00
1013,277,336,2024-08-18 00:00:00,755,Completed,2024-08-23 00:00:00
1014,281,322,2024-11-25 00:00:00,943,Completed,2024-11-28 00:00:00
1015,247,341,2024-02-08 00:00:00,2845,Completed,2024-02-14 00:00:00
1016,210,332,2024-08-02 00:00:00,1752,Completed,2024-08-11 00:00:00
1017,235,306,2024-08-24 00:00:00,2732,Ongoing,2024-09-02 00:00:00
1018,297,349,2024-12-04 00:00:00,1532,Completed,S
1019,216,330,2024-11-02 00:00:00,2601,Completed,2024-11-10 00:00:00
1020,216,312,2024-02-27 00:00:00,1454,Completed,2024-02-29 00:00:00
1021,277,310,2024-12-13 00:00:00,1227,Completed,2024-12-22 00:00:00
1022,266,308,2024-10-16 00:00:00,2794,Completed,2024-10-25 00:00:00
1023,239,314,2024-01-25 00:00:00,1777,Completed,2024-02-03 00:00:00
1024,254,331,2024-03-09 00:00:00,1725,Booked,2024-03-13 00:00:00
1025,261,328,2024-07-24 00:00:00,1567,Ongoing,2024-08-01 00:00:00
1026,239,307,2024-06-21 00:00:00,1142,Completed,2024-06-29 00:00:00
1027,281,335,2024-09-28 00:00:00,2951,Completed,2024-10-03 00:00:00
1028,264,314,2024-01-22 00:00:00,2753,Completed,2024-01-31 00:00:00
1029,213,338,2024-05-23 00:00:00,1220,Ongoing,2024-05-29 00:00:00
1030,300,322,2024-11-24 00:00:00,1652,Completed,2024-11-29 00:00:00
1031,212,325,2024-08-10 00:00:00,1931,Completed,2024-08-19 00:00:00
1032,218,322,2024-05-05 00:00:00,2259,Completed,2024-05-09 00:00:00
1033,214,349,2024-11-06 00:00:00,667,Booked,2024-11-13 00:00:00
1034,273,303,2024-05-14 00:00:00,2382,Completed,2024-05-21 00:00:00
1035,267,334,2024-05-31 00:00:00,818,Completed,2024-06-04 00:00:00
1036,250,301,2024-04-30 00:00:00,1966,Completed,2024-05-09 00:00:00
1037,253,327,2024-04-14 00:00:00,420,Completed,2024-04-22 00:00:00
1038,240,312,2024-07-27 00:00:00,853,Completed,2024-07-30 00:00:00
1039,300,336,2024-10-29 00:00:00,1762,Completed,2024-11-01 00:00:00
1040,260,330,2024-11-22 00:00:00,2120,Completed,2024-11-25 00:00:00
1041,232,318,2024-11-25 00:00:00,577,Completed,2024-12-04 00:00:00
1042,213,329,2024-03-29 00:00:00,1363,Completed,2024-04-06 00:00:00
1043,241,307,2024-11-16 00:00:00,1257,Ongoing,2024-11-23 00:00:00
1044,265,314,2024-09-08 00:00:00,2847,Completed,2024-09-10 00:00:00
1045,298,324,2024-07-12 00:00:00,1190,Completed,2024-07-16 00:00:00
1046,216,335,2024-09-01 00:00:00,2747,Ongoing,2024-09-03 00:00:00
1047,296,304,2024-05-05 00:00:00,2673,Completed,2024-05-09 00:00:00
1048,276,335,2024-11-17 00:00:00,845,Completed,2024-11-26 00:00:00
1049,295,328,2024-01-17 00:00:00,1909,Completed,2024-01-23 00:00:00
1050,269,327,2024-01-11 00:00:00,1525,Ongoing,2024-01-18 00:00:00
1051,261,327,2024-01-06 00:00:00,1035,Completed,2024-01-12 00:00:00
1052,294,305,2024-06-01 00:00:00,2077,Completed,2024-06-09 00:00:00
1053,285,333,2024-11-30 00:00:00,1087,Completed,2024-12-07 00:00:00
1054,276,329,2024-08-21 00:00:00,2536,Completed,2024-08-28 00:00:00
1055,261,316,2024-02-14 00:00:00,1642,Completed,2024-02-22 00:00:00
1056,277,317,2024-08-12 00:00:00,2676,Completed,2024-08-14 00:00:00
1057,242,316,2024-08-26 00:00:00,1965,Completed,2024-09-03 00:00:00
1058,237,302,2024-02-17 00:00:00,2933,Completed,2024-02-26 00:00:00
1059,252,320,2024-06-11 00:00:00,2206,Completed,2024-06-17 00:00:00
1060,231,303,2024-08-23 00:00:00,2083,Completed,2024-08-31 00:00:00
1061,216,327,2024-02-24 00:00:00,998,Ongoing,2024-03-03 00:00:00
1062,298,307,2024-07-05 00:00:00,452,Ongoing,2024-07-14 00:00:00
1063,243,346,2024-12-18 00:00:00,1372,Completed,2024-12-21 00:00:00
1064,207,332,2024-05-08 00:00:00,2826,Booked,2024-05-15 00:00:00
1065,245,328,2024-02-17 00:00:00,890,Completed,2024-02-21 00:00:00
1066,252,336,2024-01-26 00:00:00,2751,Ongoing,2024-02-03 00:00:00
1067,247,310,2024-06-17 00:00:00,921,Completed,2024-06-22 00:00:00
1068,208,309,2024-01-03 00:00:00,1946,Completed,2024-01-05 00:00:00
1069,244,345,2024-09-16 00:00:00,2679,Completed,2024-09-25 00:00:00
1070,276,348,2024-10-09 00:00:00,2602,Booked,2024-10-17 00:00:00
1071,251,301,2024-04-26 00:00:00,1628,Completed,2024-05-05 00:00:00
1072,235,350,2024-03-27 00:00:00,2946,Completed,2024-04-02 00:00:00
1073,251,319,2024-06-13 00:00:00,969,Booked,2024-06-18 00:00:00
1074,290,320,2024-07-03 00:00:00,2242,Ongoing,2024-07-05 00:00:00
1075,228,334,2024-06-15 00:00:00,2960,Completed,2024-06-20 00:00:00
1076,256,322,2024-06-18 00:00:00,2096,Booked,2024-06-20 00:00:00
1077,241,318,2024-05-08 00:00:00,1971,Completed,2024-05-15 00:00:00
1078,253,341,2024-01-27 00:00:00,1789,Completed,2024-01-31 00:00:00
1079,248,320,2024-06-04 00:00:00,822,Completed,2024-06-09 00:00:00
1080,230,337,2024-03-22 00:00:00,669,Completed,2024-03-28 00:00:00
1081,295,317,2024-01-24 00:00:00,2101,Completed,2024-01-30 00:00:00
1082,224,325,2024-09-21 00:00:00,1502,Completed,2024-09-30 00:00:00
1083,231,328,2024-04-19 00:00:00,1174,Booked,2024-04-28 00:00:00
1084,282,322,2024-07-04 00:00:00,1660,Completed,2024-07-08 00:00:00
1085,299,304,2024-12-17 00:00:00,437,Completed,2024-12-26 00:00:00
1086,292,344,2024-12-08 00:00:00,329,Completed,2024-12-12 00:00:00
1087,281,306,2024-07-16 00:00:00,1349,Completed,2024-07-19 00:00:00
1088,279,305,2024-01-20 00:00:00,2766,Completed,2024-01-29 00:00:00
1089,235,347,2024-05-14 00:00:00,1262,Completed,2024-05-16 00:00:00
1090,289,349,2024-04-29 00:00:00,2509,Completed,2024-05-05 00:00:00
1091,270,319,2024-01-21 00:00:00,1808,Booked,2024-01-30 00:00:00
1092,253,305,2024-06-26 00:00:00,2159,Completed,2024-07-03 00:00:00
