Vehicle_ID,Make,Model,Year,Daily_Rate,Status,Status Date,img
301,Ford,Explorer,2020,150,Available,2024-04-12 00:00:00,https://www.iihs.org/cdn-cgi/image/width=636/api/ratings/model-year-images/2973/
302,Ford,Edge,2022,132,Available,2024-09-27 00:00:00,https://www.motortrend.com/uploads/2021/10/2022-Ford-Edge-03.jpg
303,BMW,X6,2021,97,Available,2024-04-16 00:00:00,https://images.hgmsites.net/lrg/2021-bmw-x6-sports-activity-coupe-angular-front-exterior-view_100860717_l.jpg
304,Chevrolet,Camaro,2020,63,Available,2024-03-12 00:00:00,https://65e81151f52e248c552b-fe74cd567ea2f1228f846834bd67571e.ssl.cf1.rackcdn.com/GM%20US/2020%20Chevrolet%20Camaro/CamaroGarnet-Red-Tintcoat.jpg
305,Mercedes,GLA,2021,63,Under Maintenance,2024-07-07 00:00:00,https://cdn.motor1.com/images/mgl/z2xpE/s1/mercedes-benz-gla-35-amg-2020.webp
306,Tesla,Model X,2021,159,Available,2024-01-21 00:00:00,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/tesla_model-x_tesla-model-x_2021-1644513502260.jpg?fill=18:11&resize=640:*
307,Mercedes,Maybach,2019,169,Under Maintenance,2024-04-12 00:00:00,https://www.gts-models.com/wp-content/uploads/2019/05/gt237-mercedes-maybach-s650-2019-01.jpg
308,Tesla,Model Y,2019,71,Rented,2024-05-01 00:00:00,https://s1.cdn.autoevolution.com/images/news/2019-tesla-model-y-suv-confirmed-to-share-platform-with-model-3-sedan-119577_1.jpg
309,Tesla,Cybertruck,2023,172,Available,2024-08-02 00:00:00,https://www.teslarati.com/wp-content/uploads/2022/11/tesla-cybertruck-prototype.jpeg
310,Hyundai,Accent,2018,179,Available,2024-11-26 00:00:00,https://cars.usnews.com/static/images/Auto/izmo/i62379704/2018_hyundai_accent_angularfront.jpg
311,Ford,Eco Sport,2019,111,Under Maintenance,2024-03-28 00:00:00,"https://quatrorodas.abril.com.br/wp-content/uploads/2018/02/ecosport-1-5-se-direct-1160x702.jpg?crop=1&resize=1212,909"
312,Tesla,Model S,2018,180,Rented,2024-04-09 00:00:00,https://cdn.dealeraccelerate.com/ecpch/2/789/38888/790x1024/w/2018-tesla-p100d-model-s
313,BMW,X7,2021,74,Available,2024-05-31 00:00:00,https://mkt-vehicleimages-prd.autotradercdn.ca/photos/chrome/Expanded/White/2021BMS290001/2021BMS29000101.jpg
314,Nissan,Altima,2022,83,Rented,2024-05-10 00:00:00,https://www.nissanusa.com/interactivebrochures/cars/altima/altima-trims/assets/Nissan/articles/N_22Altima/desktop/06_trims/d07-altima-trim-levels-img-platinum-01.jpg?762b16e1c321bf863098f30fa74daa31
315,Honda,Civic,2021,192,Available,2024-05-29 00:00:00,https://www.iihs.org/cdn-cgi/image/width=636/api/ratings/model-year-images/3003/
316,BMW,X3,2018,79,Available,2024-11-04 00:00:00,https://cars.usnews.com/static/images/Auto/izmo/i65432320/2018_bmw_x3_angularfront.jpg
317,Audi,A3,2020,117,Rented,2024-09-14 00:00:00,https://cdn.euroncap.com/media/60162/audi-a3.png
318,Hyundai,Elantra,2023,131,Under Maintenance,2024-10-20 00:00:00,https://di-uploads-pod27.dealerinspire.com/saffordhyundaiofspringfield/uploads/2023/03/2023-elantra-sel-1024x768.jpg
319,Honda,Accord,2018,116,Available,2024-07-10 00:00:00,https://images.hgmsites.net/hug/2018-honda-accord-sdn_100614087_h.jpg
320,Chevrolet,Cruze,2020,100,Available,2024-10-03 00:00:00,https://di-uploads-pod9.dealerinspire.com/blossomchevy/uploads/2020/04/2017-Chevy-Cruze-RS-Model-Left-728x400.jpg
