Make,img URL
Ford,https://sketchok.com/images/articles/08-other/09-car-logos/03/16m.jpg
BMW,https://logowik.com/content/uploads/images/398_bmw.jpg
Chevrolet,https://blog.logomaster.ai/hs-fs/hubfs/chevrolet-logo-2013.jpg?width=672&height=454&name=chevrolet-logo-2013.jpg
Mercedes,https://logos-world.net/wp-content/uploads/2020/05/Mercedes-Benz-Logo.png
Tesla,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tesla_logo.png/640px-Tesla_logo.png
Hyundai,https://thumbs.dreamstime.com/b/logo-hyundai-logo-hyundai-car-color-vector-format-aviable-ai-124925301.jpg
Nissan,https://www.cdnlogo.com/logos/n/62/nissan.svg
Honda,https://wallpapercat.com/w/full/a/8/d/2109895-3840x2160-desktop-4k-honda-logo-wallpaper-photo.jpg
Audi,https://www.focus2move.com/wp-content/uploads/2014/12/audi-logo-white.jpg
Toyota,https://global.toyota/pages/global_toyota/mobility/toyota-brand/emblem_ogp_001.png
