Payment_ID,Rental_ID,Payment_Date,Amount,Payment_Method
5001,1001,2024-07-30 00:00:00,1223,Credit Card
5002,1002,2024-02-12 00:00:00,307,PayPal
5003,1003,2024-02-25 00:00:00,2219,Credit Card
5004,1004,2024-03-11 00:00:00,1881,PayPal
5005,1005,2024-01-21 00:00:00,2523,Cash
5006,1006,2024-06-19 00:00:00,1393,Credit Card
5007,1007,2024-01-25 00:00:00,787,Bank Transfer
5008,1008,2024-09-12 00:00:00,1129,PayPal
5009,1009,2024-08-31 00:00:00,676,PayPal
5010,1010,2024-09-21 00:00:00,2529,Bank Transfer
5011,1011,2024-09-17 00:00:00,729,Bank Transfer
5012,1012,2024-05-07 00:00:00,917,PayPal
5013,1013,2024-08-18 00:00:00,755,PayPal
5014,1014,2024-11-25 00:00:00,943,Bank Transfer
5015,1015,2024-02-08 00:00:00,2845,Cash
5016,1016,2024-08-02 00:00:00,1752,Cash
5017,1017,2024-08-24 00:00:00,2732,Credit Card
5018,1018,2024-12-04 00:00:00,1532,PayPal
5019,1019,2024-11-02 00:00:00,2601,PayPal
5020,1020,2024-02-27 00:00:00,1454,Credit Card
5021,1021,2024-12-13 00:00:00,1227,Credit Card
5022,1022,2024-10-16 00:00:00,2794,PayPal
5023,1023,2024-01-25 00:00:00,1777,Credit Card
5024,1024,2024-03-09 00:00:00,1725,Bank Transfer
5025,1025,2024-07-24 00:00:00,1567,Credit Card
5026,1026,2024-06-21 00:00:00,1142,PayPal
5027,1027,2024-09-28 00:00:00,2951,Credit Card
5028,1028,2024-01-22 00:00:00,2753,PayPal
5029,1029,2024-05-23 00:00:00,1220,Cash
5030,1030,2024-11-24 00:00:00,1652,Credit Card
5031,1031,2024-08-10 00:00:00,1931,PayPal
5032,1032,2024-05-05 00:00:00,2259,PayPal
5033,1033,2024-11-06 00:00:00,667,Bank Transfer
5034,1034,2024-05-14 00:00:00,2382,Bank Transfer
5035,1035,2024-05-31 00:00:00,818,Credit Card
5036,1036,2024-04-30 00:00:00,1966,PayPal
5037,1037,2024-04-14 00:00:00,420,Bank Transfer
5038,1038,2024-07-27 00:00:00,853,PayPal
5039,1039,2024-10-29 00:00:00,1762,Cash
5040,1040,2024-11-22 00:00:00,2120,Cash
5041,1041,2024-11-25 00:00:00,577,Credit Card
5042,1042,2024-03-29 00:00:00,1363,Bank Transfer
5043,1043,2024-11-16 00:00:00,1257,Credit Card
5044,1044,2024-09-08 00:00:00,2847,PayPal
5045,1045,2024-07-12 00:00:00,1190,Credit Card
5046,1046,2024-09-01 00:00:00,2747,Credit Card
5047,1047,2024-05-05 00:00:00,2673,Cash
5048,1048,2024-11-17 00:00:00,845,PayPal
5049,1049,2024-01-17 00:00:00,1909,Credit Card
5050,1050,2024-01-11 00:00:00,1525,Credit Card
5051,1051,2024-01-06 00:00:00,1035,PayPal
5052,1052,2024-06-01 00:00:00,2077,Credit Card
5053,1053,2024-11-30 00:00:00,1087,Credit Card
5054,1054,2024-08-21 00:00:00,2536,PayPal
5055,1055,2024-02-14 00:00:00,1642,Cash
5056,1056,2024-08-12 00:00:00,2676,PayPal
5057,1057,2024-08-26 00:00:00,1965,Credit Card
5058,1058,2024-02-17 00:00:00,2933,Credit Card
5059,1059,2024-06-11 00:00:00,2206,Credit Card
5060,1060,2024-08-23 00:00:00,2083,PayPal
5061,1061,2024-02-24 00:00:00,998,PayPal
5062,1062,2024-07-05 00:00:00,452,Cash
5063,1063,2024-12-18 00:00:00,1372,Credit Card
5064,1064,2024-05-08 00:00:00,2826,PayPal
5065,1065,2024-02-17 00:00:00,890,PayPal
5066,1066,2024-01-26 00:00:00,2751,Bank Transfer
5067,1067,2024-06-17 00:00:00,921,Credit Card
5068,1068,2024-01-03 00:00:00,1946,Cash
5069,1069,2024-09-16 00:00:00,2679,Credit Card
5070,1070,2024-10-09 00:00:00,2602,Credit Card
5071,1071,2024-04-26 00:00:00,1628,PayPal
5072,1072,2024-03-27 00:00:00,2946,Credit Card
5073,1073,2024-06-13 00:00:00,969,Bank Transfer
5074,1074,2024-07-03 00:00:00,2242,Bank Transfer
5075,1075,2024-06-15 00:00:00,2960,Bank Transfer
5076,1076,2024-06-18 00:00:00,2096,Bank Transfer
5077,1077,2024-05-08 00:00:00,1971,Credit Card
5078,1078,2024-01-27 00:00:00,1789,Credit Card
5079,1079,2024-06-04 00:00:00,822,Credit Card
5080,1080,2024-03-22 00:00:00,669,Bank Transfer
5081,1081,2024-01-24 00:00:00,2101,Cash
5082,1082,2024-09-21 00:00:00,1502,Credit Card
5083,1083,2024-04-19 00:00:00,1174,Credit Card
5084,1084,2024-07-04 00:00:00,1660,PayPal
5085,1085,2024-12-17 00:00:00,437,Credit Card
5086,1086,2024-12-08 00:00:00,329,Bank Transfer
5087,1087,2024-07-16 00:00:00,1349,Bank Transfer
5088,1088,2024-01-20 00:00:00,2766,Bank Transfer
5089,1089,2024-05-14 00:00:00,1262,PayPal
5090,1090,2024-04-29 00:00:00,2509,Credit Card
5091,1091,2024-01-21 00:00:00,1808,PayPal
5092,1092,2024-06-26 00:00:00,2159,Credit Card
5093,1093,2024-01-27 00:00:00,2377,Credit Card
5094,1094,2024-01-26 00:00:00,857,Bank Transfer
5095,1095,2024-05-20 00:00:00,2065,Cash
5096,1096,2024-01-27 00:00:00,1504,Cash
5097,1097,2024-06-21 00:00:00,473,Cash
5098,1098,2024-01-03 00:00:00,1880,Credit Card
5099,1099,2024-12-06 00:00:00,1157,Bank Transfer
5100,1100,2024-09-02 00:00:00,2759,Cash
5101,1101,2024-11-13 00:00:00,2544,Credit Card
5102,1102,2024-06-10 00:00:00,741,Bank Transfer
5103,1103,2024-09-15 00:00:00,2920,PayPal
5104,1104,2024-11-23 00:00:00,1413,PayPal
5105,1105,2024-02-20 00:00:00,2476,PayPal
5106,1106,2024-04-11 00:00:00,1764,Credit Card
5107,1107,2024-11-18 00:00:00,1783,PayPal
5108,1108,2024-01-13 00:00:00,990,PayPal
5109,1109,2024-09-22 00:00:00,1415,Bank Transfer
5110,1110,2024-05-29 00:00:00,1810,PayPal
5111,1111,2024-05-08 00:00:00,556,Credit Card
5112,1112,2024-11-28 00:00:00,1195,PayPal
5113,1113,2024-04-26 00:00:00,1410,Bank Transfer
5114,1114,2024-01-18 00:00:00,809,Cash
5115,1115,2024-10-27 00:00:00,573,Bank Transfer
5116,1116,2024-10-07 00:00:00,947,PayPal
5117,1117,2024-11-28 00:00:00,766,PayPal
5118,1118,2024-05-05 00:00:00,784,Bank Transfer
5119,1119,2024-03-09 00:00:00,1833,Bank Transfer
5120,1120,2024-09-01 00:00:00,1884,Credit Card
5121,1121,2024-06-19 00:00:00,1403,Bank Transfer
5122,1122,2024-11-13 00:00:00,508,Bank Transfer
5123,1123,2024-07-29 00:00:00,1528,PayPal
5124,1124,2024-01-03 00:00:00,2736,PayPal
5125,1125,2024-03-21 00:00:00,1504,Credit Card
5126,1126,2024-01-22 00:00:00,1124,PayPal
5127,1127,2024-07-11 00:00:00,2645,PayPal
5128,1128,2024-08-22 00:00:00,453,Bank Transfer
5129,1129,2024-12-18 00:00:00,471,Credit Card
5130,1130,2024-01-01 00:00:00,554,Credit Card
5131,1131,2024-07-05 00:00:00,1154,Credit Card
5132,1132,2024-07-05 00:00:00,2232,Credit Card
5133,1133,2024-12-07 00:00:00,990,Bank Transfer
5134,1134,2024-02-28 00:00:00,877,Bank Transfer
5135,1135,2024-11-13 00:00:00,2290,Credit Card
5136,1136,2024-11-27 00:00:00,2531,Credit Card
5137,1137,2024-04-19 00:00:00,2417,PayPal
5138,1138,2024-02-12 00:00:00,1304,Credit Card
5139,1139,2024-01-23 00:00:00,2057,PayPal
5140,1140,2024-02-19 00:00:00,1921,PayPal
5141,1141,2024-12-07 00:00:00,2250,Credit Card
5142,1142,2024-05-20 00:00:00,2222,Credit Card
5143,1143,2024-04-23 00:00:00,1367,Cash
5144,1144,2024-12-05 00:00:00,1816,PayPal
5145,1145,2024-01-24 00:00:00,2689,Credit Card
5146,1146,2024-12-18 00:00:00,563,Bank Transfer
5147,1147,2024-01-27 00:00:00,2696,PayPal
5148,1148,2024-08-18 00:00:00,874,Credit Card
5149,1149,2024-08-20 00:00:00,2937,Credit Card
5150,1150,2024-07-17 00:00:00,1920,Credit Card
5151,1151,2024-04-28 00:00:00,2146,Credit Card
5152,1152,2024-08-26 00:00:00,2483,PayPal
